id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,rawa_pasang_surut,tadah_hujan,irigasi,jumlah,satuan,tahun
1,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3214100,PURWAKARTA,32.14.01,PURWAKARTA,0,102,422,524,HEKTARE,2018
2,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3214110,CAMPAKA,32.14.02,CAMPAKA,0,479,370,849,HEKTARE,2018
3,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3214010,JATILUHUR,32.14.03,JATILUHUR,0,192,280,472,HEKTARE,2018
4,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3214040,PLERED,32.14.04,PLERED,0,351,1089,1440,HEKTARE,2018
5,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3214050,SUKATANI,32.14.05,SUKATANI,0,531,681,1212,HEKTARE,2018
6,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3214060,DARANGDAN,32.14.06,DARANGDAN,0,114,1499,1613,HEKTARE,2018
7,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3214020,MANIIS,32.14.07,MANIIS,0,659,0,659,HEKTARE,2018
8,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3214030,TEGAL WARU,32.14.08,TEGALWARU,0,871,476,1347,HEKTARE,2018
9,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3214080,WANAYASA,32.14.09,WANAYASA,0,136,1390,1526,HEKTARE,2018
10,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3214090,PASAWAHAN,32.14.10,PASAWAHAN,0,223,999,1222,HEKTARE,2018
11,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3214070,BOJONG,32.14.11,BOJONG,0,103,1087,1190,HEKTARE,2018
12,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3214101,BABAKANCIKAO,32.14.12,BABAKANCIKAO,0,545,30,575,HEKTARE,2018
13,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3214112,BUNGURSARI,32.14.13,BUNGURSARI,0,345,444,789,HEKTARE,2018
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3214111,CIBATU,32.14.14,CIBATU,0,1233,110,1343,HEKTARE,2018
15,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3214011,SUKASARI,32.14.15,SUKASARI,0,285,281,566,HEKTARE,2018
16,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3214091,PONDOK SALAM,32.14.16,PONDOKSALAM,0,632,957,1589,HEKTARE,2018
17,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3214081,KIARAPEDES,32.14.17,KIARAPEDES,0,386,708,1094,HEKTARE,2018
18,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3214100,PURWAKARTA,32.14.01,PURWAKARTA,0,100,422,522,HEKTARE,2019
19,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3214110,CAMPAKA,32.14.02,CAMPAKA,0,459,360,819,HEKTARE,2019
20,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3214010,JATILUHUR,32.14.03,JATILUHUR,0,192,280,472,HEKTARE,2019
21,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3214040,PLERED,32.14.04,PLERED,0,151,1289,1440,HEKTARE,2019
22,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3214050,SUKATANI,32.14.05,SUKATANI,0,531,681,1212,HEKTARE,2019
23,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3214060,DARANGDAN,32.14.06,DARANGDAN,0,41,1572,1613,HEKTARE,2019
24,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3214020,MANIIS,32.14.07,MANIIS,0,659,0,659,HEKTARE,2019
25,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3214030,TEGAL WARU,32.14.08,TEGALWARU,0,871,476,1347,HEKTARE,2019
26,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3214080,WANAYASA,32.14.09,WANAYASA,0,136,1390,1526,HEKTARE,2019
27,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3214090,PASAWAHAN,32.14.10,PASAWAHAN,0,223,999,1222,HEKTARE,2019
