id,kode_provinsi,nama_provinsi,kode_kabupaten,nama_kabupaten,nama_perangkat_daerah,kode_kecamatan_kemendagri,kode_kecamatan_bps,nama_kecamatan,luas_panen,produktivitas,produksi,satuan,tahun
1,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,DISPANGTAN,32.14.03,3214010,JATILUHUR,1164.0,5.66,6588,HEKTARE,2021
2,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,DISPANGTAN,32.14.15,3214011,SUKASARI,1232.0,5.75,7084,HEKTARE,2021
3,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,DISPANGTAN,32.14.07,3214020,MANIIS,1314.0,6.54,8594,HEKTARE,2021
4,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,DISPANGTAN,32.14.08,3214030,"TEGAL WARU",2865.0,6.30,18050,HEKTARE,2021
5,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,DISPANGTAN,32.14.04,3214040,PLERED,3193.0,7.10,22670,HEKTARE,2021
6,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,DISPANGTAN,32.14.05,3214050,SUKATANI,2573.0,6.35,16339,HEKTARE,2021
7,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,DISPANGTAN,32.14.06,3214060,DARANGDAN,4499.0,6.35,28569,HEKTARE,2021
8,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,DISPANGTAN,32.14.11,3214070,BOJONG,2675.0,5.75,15381,HEKTARE,2021
9,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,DISPANGTAN,32.14.09,3214080,WANAYASA,3371.0,5.65,19046,HEKTARE,2021
10,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,DISPANGTAN,32.14.17,3214081,KIARAPEDES,2641.0,6.10,16110,HEKTARE,2021
11,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,DISPANGTAN,32.14.10,3214090,PASAWAHAN,2704.0,6.40,17306,HEKTARE,2021
12,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,DISPANGTAN,32.14.16,3214091,"PONDOK SALAM",3903.0,6.25,24394,HEKTARE,2021
13,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,DISPANGTAN,32.14.01,3214100,PURWAKARTA,1062.0,6.25,6638,HEKTARE,2021
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,DISPANGTAN,32.14.12,3214101,BABAKANCIKAO,1257.0,6.40,8045,HEKTARE,2021
15,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,DISPANGTAN,32.14.02,3214110,CAMPAKA,1579.0,6.30,9948,HEKTARE,2021
16,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,DISPANGTAN,32.14.14,3214111,CIBATU,3152.0,6.40,20173,HEKTARE,2021
17,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,DISPANGTAN,32.14.13,3214112,BUNGURSARI,1647.0,6.05,9964,HEKTARE,2021
