nama_kecamatan,tahun,luas_panen,produktivitas,tadah_hujan,irigasi,produksi
JATILUHUR,2021,1164.0,5.66,182,253,6588
SUKASARI,2021,1232.0,5.75,285,281,7084
MANIIS,2021,1314.0,6.54,659,0,8594
TEGAL WARU,2021,2865.0,6.3,871,476,18050
PLERED,2021,3193.0,7.1,141,1279,22670
SUKATANI,2021,2573.0,6.35,529,681,16339
DARANGDAN,2021,4499.0,6.35,30,1583,28569
BOJONG,2021,2675.0,5.75,103,1087,15381
WANAYASA,2021,3371.0,5.65,136,1390,19046
KIARAPEDES,2021,2641.0,6.1,326,768,16110
PASAWAHAN,2021,2704.0,6.4,49,1173,17306
PONDOK SALAM,2021,3903.0,6.25,632,957,24394
PURWAKARTA,2021,1062.0,6.25,100,420,6638
BABAKANCIKAO,2021,1257.0,6.4,545,30,8045
CAMPAKA,2021,1579.0,6.3,459,360,9948
CIBATU,2021,3152.0,6.4,1233,110,20173
BUNGURSARI,2021,1647.0,6.05,306,443,9964
JATILUHUR,2022,1064.0,5.74,182,253,6106
SUKASARI,2022,1344.0,5.8,285,281,7795
MANIIS,2022,1146.0,6.66,659,0,7632
TEGAL WARU,2022,2883.0,6.4,871,476,18451
PLERED,2022,3381.0,7.0,141,1279,23668
SUKATANI,2022,2589.0,6.4,529,681,16574
DARANGDAN,2022,4735.0,6.4,30,1583,30304
BOJONG,2022,2404.0,5.8,103,1087,13943
WANAYASA,2022,3207.0,5.7,136,1390,18280
KIARAPEDES,2022,2425.0,6.2,386,7008,15035
PASAWAHAN,2022,2893.0,6.45,223,999,18652
PONDOK SALAM,2022,3689.0,6.3,632,957,23249
PURWAKARTA,2022,1070.0,6.3,100,420,6741
BABAKANCIKAO,2022,1285.0,6.5,545,30,8353
CAMPAKA,2022,1619.0,6.35,459,360,10280
CIBATU,2022,3004.0,6.45,1233,110,19376
BUNGURSARI,2022,1690.0,6.1,336,443,10309
